,Rank,year,MovieName,Genre,Number,Budget,Resource_x,Runtime,Release,GoldRelease,IssueDataOfGoldenWeek,ReleaseInfo,DoubanRate,Country,Distributor,Gross,Week,db_link,db_id,imdb_id,imdb_link,Maoyan_link_x,Maoyan_link_y,TotalWechatClicks,TotalWeiboClicks,Resource_y
127,47,2017,Star Wars: The Last Jedi,Short,26,,,,5-Jan,0,1,5,7.1,USA,Disney,"$42,577,974 ",1,https://movie.douban.com/subject/22265634/,22265634,tt3486354,https://www.imdb.com/title/tt3486354/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/247948,https://piaofang.maoyan.com/movie/247948,111万+,81541,1445.1万
128,48,2018,Long Day's Journey Into Night,Drama,12,"$500,000
            ",,174,31-Dec,0,1,11,7,USA,,"$41,721,174 ",1,https://movie.douban.com/subject/26633257/,26633257,tt0056196,https://www.imdb.com/title/tt0056196/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/667296,https://piaofang.maoyan.com/movie/667296,,,
129,49,2018,"Lost, Found",Comedy,6,"$30,000,000
            ",,95,5-Oct,1,5,0,7.4,USA,,"$41,016,766 ",40,https://movie.douban.com/subject/27140071/,27140071,tt0120836,https://www.imdb.com/title/tt0120836/?ref_=nv_sr_1,,,,,
130,49,2018,"Lost, Found",Romance,20,"$30,000,000
            ",,95,5-Oct,1,5,0,7.4,USA,,"$41,016,766 ",40,https://movie.douban.com/subject/27140071/,27140071,tt0120836,https://www.imdb.com/title/tt0120836/?ref_=nv_sr_1,,,,,
131,50,2018,Ralph Breaks the Internet,Adventure,2,"$175,000,000
            ",51,112,23-Nov,1,5,5,8.2,USA,Disney,"$39,259,191 ",47,https://movie.douban.com/subject/20438964/,20438964,tt5848272,https://www.imdb.com/title/tt5848272/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341213,https://piaofang.maoyan.com/movie/341213,257万+,571140,518.1万
132,50,2018,Ralph Breaks the Internet,Animation,3,"$175,000,000
            ",51,112,23-Nov,1,5,5,8.2,USA,Disney,"$39,259,191 ",47,https://movie.douban.com/subject/20438964/,20438964,tt5848272,https://www.imdb.com/title/tt5848272/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341213,https://piaofang.maoyan.com/movie/341213,257万+,571140,518.1万
133,50,2018,Ralph Breaks the Internet,Comedy,6,"$175,000,000
            ",51,112,23-Nov,1,5,5,8.2,USA,Disney,"$39,259,191 ",47,https://movie.douban.com/subject/20438964/,20438964,tt5848272,https://www.imdb.com/title/tt5848272/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341213,https://piaofang.maoyan.com/movie/341213,257万+,571140,518.1万
134,50,2018,Ralph Breaks the Internet,Family,13,"$175,000,000
            ",51,112,23-Nov,1,5,5,8.2,USA,Disney,"$39,259,191 ",47,https://movie.douban.com/subject/20438964/,20438964,tt5848272,https://www.imdb.com/title/tt5848272/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341213,https://piaofang.maoyan.com/movie/341213,257万+,571140,518.1万
135,50,2018,Ralph Breaks the Internet,Fantasy,14,"$175,000,000
            ",51,112,23-Nov,1,5,5,8.2,USA,Disney,"$39,259,191 ",47,https://movie.douban.com/subject/20438964/,20438964,tt5848272,https://www.imdb.com/title/tt5848272/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341213,https://piaofang.maoyan.com/movie/341213,257万+,571140,518.1万
136,51,2018,Fat Buddies,Action,1,,240.64,109,30-Sep,0,4,5,4.1,China,,"$37,457,752 ",39,https://movie.douban.com/subject/27149818/,27149818,tt8845432,https://www.imdb.com/title/tt8845432/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1210830,https://piaofang.maoyan.com/movie/1210830,206万+,1286879,2417.2万
137,51,2018,Fat Buddies,Comedy,6,,240.64,109,30-Sep,0,4,5,4.1,China,,"$37,457,752 ",39,https://movie.douban.com/subject/27149818/,27149818,tt8845432,https://www.imdb.com/title/tt8845432/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1210830,https://piaofang.maoyan.com/movie/1210830,206万+,1286879,2417.2万
138,52,2018,Till the End of the World,Adventure,2,,175,117,2-Feb,0,1,6,6.7,China,,"$36,878,369 ",5,https://movie.douban.com/subject/26628329/,26628329,tt7962598,https://www.imdb.com/title/tt7962598/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338493,https://piaofang.maoyan.com/movie/338493,1.5万,1866,1.75亿
139,52,2018,Till the End of the World,Drama,12,,175,117,2-Feb,0,1,6,6.7,China,,"$36,878,369 ",5,https://movie.douban.com/subject/26628329/,26628329,tt7962598,https://www.imdb.com/title/tt7962598/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338493,https://piaofang.maoyan.com/movie/338493,1.5万,1866,1.75亿
140,53,2018,A Quiet Place,Drama,12,"$17,000,000
            ",855.48,90,18-May,1,3,9,6.3,USA,PPI,"$34,446,117 ",20,https://movie.douban.com/subject/26997663/,26997663,tt6644200,https://www.imdb.com/title/tt6644200/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1203554,https://piaofang.maoyan.com/movie/1203554,31万+,594721,
