,key_0,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,Resource_x,Maoyan_link_x,WeiboClicks,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Genre,Maoyan_link_y,TotalWeiboClicks,TotalWechatClicks,Resource_y
43,HISTORY,15,Dragon Blade,,"$116,790,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/?page=intl&id=dragonblade.htm,4,https://movie.douban.com/subject/25823833/,25823833,5.9,2015,tt3672840,https://www.imdb.com/title/tt3672840/?ref_=nv_sr_1,127,"$65,000,000
            ",China,,https://piaofang.maoyan.com/movie/79082,,0,1,History,15,History,https://piaofang.maoyan.com/movie/79082,,,
44,ACTION,16,Terminator: Genisys,HuaXia,"$113,175,898 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=terminator2015.htm,4,https://movie.douban.com/subject/3338862/,3338862,6.9,2015,tt1340138,https://www.imdb.com/title/tt1340138/?ref_=nv_sr_1,126,"$155,000,000
            ",USA,,https://piaofang.maoyan.com/movie/874829,,0,4,Action,1,Action,https://piaofang.maoyan.com/movie/874829,,,
45,ADVENTURE,16,Terminator: Genisys,HuaXia,"$113,175,898 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=terminator2015.htm,4,https://movie.douban.com/subject/3338862/,3338862,6.9,2015,tt1340138,https://www.imdb.com/title/tt1340138/?ref_=nv_sr_1,126,"$155,000,000
            ",USA,,https://piaofang.maoyan.com/movie/874829,,0,4,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/874829,,,
46,SCI-FI,16,Terminator: Genisys,HuaXia,"$113,175,898 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=terminator2015.htm,4,https://movie.douban.com/subject/3338862/,3338862,6.9,2015,tt1340138,https://www.imdb.com/title/tt1340138/?ref_=nv_sr_1,126,"$155,000,000
            ",USA,,https://piaofang.maoyan.com/movie/874829,,0,4,Sci-Fi,21,Sci-fi,https://piaofang.maoyan.com/movie/874829,,,
47,ADVENTURE,17,Wolf Totem,China Film,"$110,460,000 ",18-Feb,7,https://www.boxofficemojo.com//movies/?page=intl&id=wolftotem.htm,6,https://movie.douban.com/subject/3993588/,3993588,6.9,2015,tt2909116,https://www.imdb.com/title/tt2909116/?ref_=nv_sr_1,121,"$38,000,000
            ",China,暂无 ,https://piaofang.maoyan.com/movie/78403,,0,1,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/78403,,,
48,DRAMA,17,Wolf Totem,China Film,"$110,460,000 ",18-Feb,7,https://www.boxofficemojo.com//movies/?page=intl&id=wolftotem.htm,6,https://movie.douban.com/subject/3993588/,3993588,6.9,2015,tt2909116,https://www.imdb.com/title/tt2909116/?ref_=nv_sr_1,121,"$38,000,000
            ",China,暂无 ,https://piaofang.maoyan.com/movie/78403,,0,1,Drama,12,Drama,https://piaofang.maoyan.com/movie/78403,,,
49,ACTION,18,Chronicles of the Ghostly Tribe,,"$106,380,000 ",25-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fCHRONICLESOFTHEG01&country=CH&wk=2015W40&id=_fCHRONICLESOFTHEG01&p=.htm,4,https://movie.douban.com/subject/24827406/,24827406,4.2,2015,tt4819498,https://www.imdb.com/title/tt4819498/?ref_=nv_sr_1,118,,China,暂无 ,https://piaofang.maoyan.com/movie/246088,,0,4,Action,1,Action,https://piaofang.maoyan.com/movie/246088,,,
50,ADVENTURE,18,Chronicles of the Ghostly Tribe,,"$106,380,000 ",25-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fCHRONICLESOFTHEG01&country=CH&wk=2015W40&id=_fCHRONICLESOFTHEG01&p=.htm,4,https://movie.douban.com/subject/24827406/,24827406,4.2,2015,tt4819498,https://www.imdb.com/title/tt4819498/?ref_=nv_sr_1,118,,China,暂无 ,https://piaofang.maoyan.com/movie/246088,,0,4,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/246088,,,
51,DRAMA,18,Chronicles of the Ghostly Tribe,,"$106,380,000 ",25-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fCHRONICLESOFTHEG01&country=CH&wk=2015W40&id=_fCHRONICLESOFTHEG01&p=.htm,4,https://movie.douban.com/subject/24827406/,24827406,4.2,2015,tt4819498,https://www.imdb.com/title/tt4819498/?ref_=nv_sr_1,118,,China,暂无 ,https://piaofang.maoyan.com/movie/246088,,0,4,Drama,12,Drama,https://piaofang.maoyan.com/movie/246088,,,
52,FANTASY,18,Chronicles of the Ghostly Tribe,,"$106,380,000 ",25-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fCHRONICLESOFTHEG01&country=CH&wk=2015W40&id=_fCHRONICLESOFTHEG01&p=.htm,4,https://movie.douban.com/subject/24827406/,24827406,4.2,2015,tt4819498,https://www.imdb.com/title/tt4819498/?ref_=nv_sr_1,118,,China,暂无 ,https://piaofang.maoyan.com/movie/246088,,0,4,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/246088,,,
