,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number
44,18,Doctor Strange,Disney,"$109,194,913 ",4-Nov,44,https://www.boxofficemojo.com//movies/?page=intl&id=marvel716.htm,5,https://movie.douban.com/subject/3025375/,3025375,7.6,2016,tt1211837,https://www.imdb.com/title/tt1211837/?ref_=nv_sr_1,115,"$165,000,000 ",USA,1,5,Adventure,2
45,18,Doctor Strange,Disney,"$109,194,913 ",4-Nov,44,https://www.boxofficemojo.com//movies/?page=intl&id=marvel716.htm,5,https://movie.douban.com/subject/3025375/,3025375,7.6,2016,tt1211837,https://www.imdb.com/title/tt1211837/?ref_=nv_sr_1,115,"$165,000,000 ",USA,1,5,Fantasy,14
46,18,Doctor Strange,Disney,"$109,194,913 ",4-Nov,44,https://www.boxofficemojo.com//movies/?page=intl&id=marvel716.htm,5,https://movie.douban.com/subject/3025375/,3025375,7.6,2016,tt1211837,https://www.imdb.com/title/tt1211837/?ref_=nv_sr_1,115,"$165,000,000 ",USA,1,5,Sci-Fi,21
47,19,Cold War 2,,"$102,197,265 ",8-Jul,27,https://www.boxofficemojo.com//movies/?page=intl&id=coldwar2.htm,6,https://movie.douban.com/subject/26894602/,26894602,7.8,2018,tt1102188,https://www.imdb.com/title/tt1102188/?ref_=nv_sr_1,,,Nigeria,0,4,Drama,12
48,20,Railroad Tigers,,"$101,519,156 ",23-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=railroadtigers.htm,17,https://movie.douban.com/subject/26389069/,26389069,5.2,2016,tt4687848,https://www.imdb.com/title/tt4687848/?ref_=nv_sr_1,124,"$50,000,000 ",China,0,1,Action,1
49,20,Railroad Tigers,,"$101,519,156 ",23-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=railroadtigers.htm,17,https://movie.douban.com/subject/26389069/,26389069,5.2,2016,tt4687848,https://www.imdb.com/title/tt4687848/?ref_=nv_sr_1,124,"$50,000,000 ",China,0,1,Comedy,6
50,20,Railroad Tigers,,"$101,519,156 ",23-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=railroadtigers.htm,17,https://movie.douban.com/subject/26389069/,26389069,5.2,2016,tt4687848,https://www.imdb.com/title/tt4687848/?ref_=nv_sr_1,124,"$50,000,000 ",China,0,1,War,25
51,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Action,1
52,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Adventure,2
53,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Comedy,6
